ERBB2	NM_001005862
DIRAS3	NM_004675
TGFB1	NM_0006606
MSH2	NM_000251
ATM	NM_000051
MSH6	NM_000179.2
STK11	NM_000455
BRIP1	NM_032043
MLH1	NM_000249
CASP	NM_001080224
CDH1	NM_004360
CHEK2	NM_001005735
NBN	NM_002485
BRCA1	NM_007294
BRCA2	NM_00059
BARD1	NM_000465
AR	NM_000044
EPCAM	NM_002354
PMS2	NM_000535
RAD51D	NM_002878
RAD51C	NM_002876
TP53	NM_0005465
PALB2	NM_0024675
PTEN	NM_000314
RAD51	NM_001104269
RAD50	NM_005732
